MAPID,LATITUDE,LONGITUDE,NAME,LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME
DFPB0146,49.292239000347898,-123.147000000189000,Fountain location:Stanley Park - West of Restaurant ,W - side of Fish House,Parks,spring to fall,,
DFPB0150,49.298951383635398,-123.120690088736000,Fountain location:Stanley Park - West of Shore to Shore sculpture,Totem poles,Parks,,,
DFPB0148,49.301561600170302,-123.134528999615000,Fountain location:Stanley Park - West side of Stanley Park Train,,Parks,,,
DFPB0163,49.275909621477503,-123.085577225742990,Fountain location:Strathcona Park - North west of basketball court,besides basketball court,Parks,spring to fall,,
DFPB0164,49.274827000079199,-123.086688999328000,Fountain location:Strathcona Park - besides baseball diamond,besides baseball diamond,Parks,spring to fall,,
DFPB0165,49.266893000106798,-123.035669000582000,Fountain location:Sunrise Park,N-side of wading pool,Parks,spring to fall,,
DFPB0066,49.278895999847400,-123.138020000352990,Fountain location:Sunset Beach ,on building wall ,Parks,spring to fall,,English Bay Park - drinking fountain - 2005.jpg
DFPB0167,49.222849301284000,-123.096482187335000,Fountain location:Sunset Park,front of wading pool,Parks,spring to fall,,
DFPB0168,49.269120999848703,-123.134031000332000,Fountain location:Sutcliffe Park,S-side of false creek communit,Parks,spring to fall,,
DFPB0169,49.257355999819502,-123.098590000310000,Fountain location:Tea Swamp Park,NE corner of park,Parks,spring to fall,,
DFPB0170,49.229607699639203,-123.070190999798000,Fountain location:Tecumseh Park,middle of park,Parks,spring to fall,,
DFPB0171,49.228371000190201,-123.118266000141010,Fountain location:Tisdall Park,near North baseball diamond,Parks,spring to fall,,
DFPB0172,49.251273000313397,-123.163837000220990,Fountain location:Trafalgar Park,E-side of wading pool,Parks,spring to fall,,
DFPB0173,49.274960300192198,-123.093121999751010,Fountain location:Trillium Park,on west side of building ,Parks,spring to fall,,
DFPB0187,49.260519093631203,-123.050134814472000,Fountain location:Vancouver Technical HS,NE of the sport field,Parks,,,
DFPB0175,49.239401300331700,-123.129438999779000,Fountain location:Vandusen Botanical Garden,near reflecting pond,Parks,spring to fall,,
DFPB0174,49.238615400121397,-123.129938999365000,Fountain location:Vandusen Botanical Garden - upper gardens,upper gardens,Parks,spring to fall,,
DFPB0176,49.275111999887599,-123.139768999575000,Fountain location:Vanier Park (Burrard Civic Marina),,Parks,year-round,,
DFPB0177,49.271612967330199,-123.066762284782000,Fountain location:Victoria Park,adjacent to children's play area,Parks,spring to fall,,Victoria Park - drinking fountain - 2007.JPG
DFPB0178,49.281845000093703,-123.110066000410000,Fountain location:Victory Square,south corner of park,Parks,spring to fall,,Victory Square - drinking fountain - 2008.JPG
DFPB0179,49.263047999887000,-123.073108000583010,Fountain location:W.C. Shelly Park,,Parks,spring to fall,,
DFPB0180,49.285189999813099,-123.128044999670000,Fountain location:West End minipark,Bute & Haro,Parks,spring to fall,,West End Minipark @ Bute & Haro - drinking fountain - 2005.JPG
DFPB0181,49.281987000127302,-123.136051999559000,Fountain location:West End minipark - JERVIS ST @ BURNABY ST,north end,Parks,spring to fall,,
DFPB0183,49.266021000107500,-123.205261999702000,Fountain location:West Point Grey Park - North of wading pool,N-side of wading pool,Parks,spring to fall,,
DFPB0182,49.266853604644297,-123.205161207435000,Fountain location:West Point Grey Park - lawn bowling court,In lawn bowling court,Parks,spring to fall,,
DFPB0184,49.215839000431700,-123.113059000144010,Fountain location:Winona Park,near playground,Parks,spring to fall,,
DFPB0185,49.278442000268001,-123.073423999943000,Fountain location:Woodland Park,in front of wading pool,Parks,spring to fall,,
DFENG0500,49.266341099999998,-123.125913999999990,Bottle Filling Station location: Charleson Park Pumping Station,North side of sewage pumping station 900 Charleson,Engineering,Year Round,N,CharlesonParkPumpingStation.jpg
DFENG0501,49.257924000000003,-123.041381000000000,Bottle Filling Station location: Grandview Hwy Pumping Station ,,Engineering,Year Round,N,GrandviewHwyPumpingStation.jpg
DFENG0502,49.269565999999998,-123.136177000000000,Bottle Filling Station location: Granville Island Pumping Station,North side of sewage pumping station on seawall east of the granville island entrance,Engineering,Year Round,N,GranvilleIslandPumpingStation.jpg
DFENG0503,49.273334499999997,-123.131579000000000,Bottle Filling Station location: Granville St Pumping Station,North side of sewage pumping station under Granville Bridge on bike route,Engineering,Year Round,N,GranvilleStPumpingStation.jpg
DFENG0504,49.273714200000001,-123.152780600000000,Bottle Filling Station location: Kitsilano Pumping Station,North side of sewage pumping station on w/s/ 1300 Arbutus,Engineering,Year Round,N,KitsilanoPumpingStation.jpg
DFENG0505,49.273036800000000,-123.098885999999990,Bottle Filling Station location: Thornton Park Pumping Station,West side of sewage pumping station on w/s/ 1200 Station St,Engineering,Year Round,N,ThorntonParkPumpingStation.jpg
DFENG0011,49.265329000000001,-123.142081000000000,Fountain location:1650 W 7th,"Midblock, outside of 1650 W 7th",Engineering,May-October,Y,1650 w 7th 2.JPG
DFENG0001,49.245761999999999,-123.101020000000010,Fountain location:28th & Main,Northeast corner of 28th & Main,Engineering,May-October,N,Main 28th 1.JPG
DFENG0012,49.237586999999998,-123.127384000000010,Fountain location:37th & Oak,Southeast corner of 37th & Oak,Engineering,May-October,N,Oak 37th 2.JPG
DFENG0013,49.237445999999998,-123.105647000000000,Fountain location:37th & Ontario,Northwest corner of 37th & Ontario,Engineering,May-October,N,Ontario&37th.jpg
DFENG0018,49.237195200000002,-123.097282949999990,Fountain location:37th & Prince Edward,Northwest corner of 37th & Prince Edward,Engineering,May-October,Y,Prince Ed 37th 4.JPG
DFENG0002,49.234752000000000,-123.058912000000010,Fountain location:39th & Nanaimo,Southwest corner of 39th & Nanaimo,Engineering,May-October,N,Nanaimo&39th.jpg
DFENG0003,49.268227770000003,-123.152705999999990,Fountain location:4th & Arbutus,Northeast corner of 4th & Arbutus,Engineering,May-October,N,P3140883.JPG
DFENG0004,49.219504999999998,-123.106415000000000,Fountain location:56th & Ontario,Northwest corner of 56th & Ontario,Engineering,May-October,Y,Ontario 56th 2.JPG
DFENG0014,49.264659899999998,-123.112967000000000,Fountain location:7th & Yukon,Southwest corner of 7th & Yukon,Engineering,May-October,N,Yukon&7th.jpg
DFENG0022,49.218754799999999,-123.055044000000000,Fountain location:Ashburn & Elliot,Northwest corner of Ashburn & Elliot,Engineering,May-October,N,Ashburn&Elliot.jpg
DFENG0015,49.262875000000001,-123.105026000000000,Fountain location:Broadway & Ontario,Southwest corner of Broadway & Ontario,Engineering,May-October,N,Broadway ON 2.JPG
DFENG0032,49.264235139999997,-123.166647400000000,Fountain location:Broadway & Stephens,Northwest corner of Broadway & Stephens,Engineering,May-October,N,P3140921.JPG
DFENG0016,49.262065999999997,-123.065619000000000,Fountain location:Broadway & Victoria,Southeast corner of Broadway & Victoria,Engineering,May-October,N,Broadway Victoria 2.JPG
DFENG0024,49.279247545381203,-123.129232100620000,Fountain location:Burrard & Davie,Northwest corner of Burrard & Davie,Engineering,Year Round,N,Davie&Burrard.jpg
DFENG0005,49.284519879999998,-123.139554390000000,Fountain location:Cardero & Burnaby,In the mini park at Cardero & Burnaby,Engineering,May-October,N,P2080275.JPG
DFENG0021,49.267819400000000,-123.069390670000000,Fountain location:Commercial & 3rd,Northeast corner of Commercial & 3rd,Engineering,May-October,Y,Commercial&3rd.jpg
DFENG0025,49.286738399999997,-123.136516000000000,Fountain location:Comox & Cardero,Northeast corner of Comox & Cardero,Engineering,Year Round,N,Comox&Cardero.jpg
DFENG0026,49.290674070000001,-123.142646860000000,Fountain location:Comox & Chilco,In mini park at Comox & Chilco,Engineering,May-October,N,Comox&Chilco.jpg
DFENG0027,49.288785699999998,-123.139690000000000,Fountain location:Comox & Denman,Northwest corner of Comox & Denman,Engineering,Year Round,N,Comox&Denman.jpg
DFENG0033,49.289224830000002,-123.138548540000000,Fountain location:Denman & Nelson,Southwest corner of Denman & Nelson,Engineering,May-October,N,P3011141.JPG
