MAPID,LATITUDE,LONGITUDE,NAME,LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME
DFPB0069,49.282892040312703,-123.034500566518010,Fountain location:Hastings Park -Plateau Sport Parks / Empire Fields,East of playgrounds,Parks,,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG
DFPB0072,49.245662600117697,-123.106969000221990,Fountain location:Hillcrest Park - East side,,Parks,,,
DFPB0071,49.244540443247097,-123.106375175059000,Fountain location:Hillcrest Park - North of playground,,Parks,,,
DFPB0073,49.271908399997002,-123.191735999977990,Fountain location:Jericho Beach Park,,Parks,,,
DFPB0074,49.253929000163502,-123.061985999651990,Fountain location:John Hendry (Trout Lake) Park,nearby beach,Parks,spring to fall,,
DFPB0075,49.264163999882598,-123.107514000503000,Fountain location:Jonathan Rogers Park,E-side of wading pool,Parks,spring to fall,,
DFPB0076,49.263953999694600,-123.045152000173000,Fountain location:Kaslo Park,SE corner of tennis courts,Parks,spring to fall,,
DFPB0077,49.238138000273899,-123.074290000451000,Fountain location:Kensington Park,between baseball diamond and parking lots,Parks,spring to fall,,
DFPB0078,49.233331000024499,-123.157199999423000,Fountain location:Kerrisdale Centennial Park,2nd N-side entrance,Parks,spring to fall,,
DFPB0080,49.229195000285202,-123.045343000283000,Fountain location:Killarney Park - E 45th Ave. @ Killarney St.,north plaza,Parks,spring to fall,,Killarney Park - drinking fountain 2 - 2005.JPG
DFPB0079,49.227058999966701,-123.041881999428990,Fountain location:Killarney Park - East of wading pool,in front of wading pool,Parks,spring to fall,,Killarney Park - drinking fountain 1 - 2005.JPG
DFPB0081,49.247325000036703,-123.074579000006000,Fountain location:Kingcrest Park,E-side of washroom,Parks,spring to fall,,Kingcrest Park - drinking fountain - 2005.JPG
DFPB0084,49.276738999608902,-123.151743000555000,Fountain location:Kitsilano Beach Park - North of parking lot,besides parking lot,Parks,spring to fall,,
DFPB0083,49.274681453974900,-123.153201414458000,Fountain location:Kitsilano Beach Park - South of playground,besides playground,Parks,spring to fall,,
DFPB0082,49.274376595992798,-123.153819691889000,Fountain location:Kitsilano Beach Park - washroom wall,opposite washrooms,Parks,spring to fall,,
DFPB0087,49.219405699889300,-123.106334999766010,Fountain location:Langara Golf Course - East of tennis courts,56th and Ontario,Parks,spring to fall,,
DFPB0086,49.223075200025100,-123.116335999480000,Fountain location:Langara Golf Course - cambie pathway,cambie pathway,Parks,spring to fall,,
DFPB0088,49.223785099803898,-123.112542999721000,Fountain location:Langara Golf Course - clubhouse building ,clubhouse building ,Parks,spring to fall,,
DFPB0085,49.218167186457798,-123.111721242293000,Fountain location:Langara Golf Course - servive yard,servive yard,Parks,spring to fall,,
DFPB0089,49.274968999576302,-123.207164000378000,Fountain location:Locarno Beach Park,near concessions,Parks,spring to fall,,
DFPB0090,49.229970000193603,-123.098511000347000,Fountain location:MacDonald Park,near NW corner of tennis court,Parks,spring to fall,,
DFPB0091,49.278842199887301,-123.089442000272000,Fountain location:Maclean Park,,Parks,,,
DFPB0092,49.261575299957798,-123.107009000081010,Fountain location:Major Matthews Park,,Parks,,,
DFPB0094,49.223179999986002,-123.159702000341000,Fountain location:Maple Grove Park - East of pool,E-side of pool,Parks,spring to fall,,
DFPB0093,49.223507000309397,-123.160831000304000,Fountain location:Maple Grove Park - South of baseball diamond,S-side of baseball diamond,Parks,spring to fall,,
DFPB0095,49.205623999810101,-123.138957999342000,Fountain location:Marpole Park,west entrance to playground,Parks,spring to fall,,Marpole Park - drinking fountain - 2005.JPG
DFPB0096,49.267923000319598,-123.180133999557000,Fountain location:McBride Park,S of playground,Parks,spring to fall,,McBride Park - drinking fountain - 2007.JPG
DFPB0097,49.220377800240399,-123.170894999456000,Fountain location:McCleery Golf Course - 5th tee,5th tee,Parks,spring to fall,,
DFPB0098,49.220955100377303,-123.167862999546000,Fountain location:McCleery Golf Course - clubhouse building ,clubhouse building ,Parks,spring to fall,,
DFPB0099,49.220590699627202,-123.169627999897000,Fountain location:McCleery Golf Course - driving range ,driving range ,Parks,spring to fall,,
DFPB0100,49.220632855952203,-123.170739863010000,Fountain location:McCleery Golf Course - servive yard,servive yard,Parks,spring to fall,,
DFPB0101,49.236423999777799,-123.029107000416000,Fountain location:Melbourne Park,front of tennis courts,Parks,spring to fall,,Melbourne Park - drinking fountain - 2005.JPG
DFPB0102,49.231522925279599,-123.084772336235010,Fountain location:Memorial South Park - West of Softball Diamond,,Parks,,,
DFPB0103,49.231340821548301,-123.086922340561000,Fountain location:Memorial South Park - West of wading pool,W-side of wading pool,Parks,year-round,,
DFPB0104,49.243358000329600,-123.187295999658010,Fountain location:Memorial West Park,S of tennis courts,Parks,spring to fall,,
DFPB0106,49.215338600371503,-123.087199999567010,Fountain location:Moberly Park - Arts & Cultural Centre,,Parks,,,
DFPB0105,49.214827999672799,-123.084598999859000,Fountain location:Moberly Park - West of tennis courts,in front of tennis courts,Parks,spring to fall,,
DFPB0107,49.287429000160898,-123.142264000435010,Fountain location:Morton Park,,Parks,spring to fall,,
DFPB0108,49.273192000416600,-123.074217000538990,Fountain location:Mosaic Creek Park,near children's play area,Parks,spring to fall,,
DFPB0109,49.256865000062596,-123.106445999548000,Fountain location:Mount Pleasant Park,S-side of wading pool,Parks,spring to fall,,
DFPB0110,49.228277000295797,-123.056920000412010,Fountain location:Nanaimo Park,in front of wading pool,Parks,spring to fall,,Nanaimo Park - drinking fountain - 2005.JPG
DFPB0111,49.282837999919600,-123.129981000542000,Fountain location:Nelson Park,middle of park,Parks,spring to fall,,Nelson Park - drinking fountain - 2006.JPG
DFPB0113,49.289268000085499,-123.036665999947000,Fountain location:New Brighton Park - South of pool,S-side of pool,Parks,spring to fall,,New Brighton - drinking fountain 2 - 2007.JPG
DFPB0114,49.289430999620699,-123.038690999951000,Fountain location:New Brighton Park - South west of playground,SW of playground,Parks,spring to fall,,New Brighton - drinking fountain 1 - 2007.JPG
DFPB0112,49.289590000105797,-123.035530999554000,Fountain location:New Brighton Park - West of tennis courts,W-side of tennis courts,Parks,spring to fall,,
DFPB0115,49.238173000096097,-123.050828000368990,Fountain location:Norquay Park,front of wading pool,Parks,spring to fall,,
DFPB0117,49.216882000143599,-123.128154999626010,Fountain location:Oak Park - East of fieldhouse,East side of fieldhouse,Parks,spring to fall,,Oak Park - drinking fountain 3 - 2007.JPG
